campus,program_id,program_name,place_type,filename,url
Москва,36634049850,Анализ данных в биологии и медицине,Budget,36634049850_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634049850_Budget.xlsx
Москва,36634049850,Анализ данных в биологии и медицине,Commercial,36634049850_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634049850_Commercial.xlsx
Москва,36635146793,Аналитик деловой разведки,Budget,36635146793_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635146793_Budget.xlsx
Москва,36635146793,Аналитик деловой разведки,Commercial,36635146793_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36635146793_Commercial.xlsx
Москва,36634149870,Аналитика больших данных,Commercial,36634149870_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634149870_Commercial.xlsx
Москва,36634106321,Аналитика данных и прикладная статистика,Commercial,36634106321_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634106321_Commercial.xlsx
Москва,36634440292,Аппаратно-программные комплексы искусственного интеллекта,Budget,36634440292_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634440292_Budget.xlsx
Москва,36634440292,Аппаратно-программные комплексы искусственного интеллекта,Commercial,36634440292_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634440292_Commercial.xlsx
Москва,36923667513,Археологические исследования,Budget,36923667513_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923667513_Budget.xlsx
Москва,36923667513,Археологические исследования,Commercial,36923667513_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923667513_Commercial.xlsx
Москва,37044276777,Бизнес-аналитика и цифровые решения в финансах,Commercial,37044276777_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/37044276777_Commercial.xlsx
Москва,36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Budget,36634835017_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634835017_Budget.xlsx
Москва,36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Commercial,36634835017_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634835017_Commercial.xlsx
Москва,36634106914,Биоинформатика в агробиотехнологиях,Budget,36634106914_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634106914_Budget.xlsx
Москва,36634106914,Биоинформатика в агробиотехнологиях,Commercial,36634106914_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634106914_Commercial.xlsx
Москва,37038835786,Бэкенд-разработка и архитектура программных систем,Commercial,37038835786_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/37038835786_Commercial.xlsx
Москва,36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Budget,36634805591_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634805591_Budget.xlsx
Москва,36634708593,Государственное и муниципальное управление,Budget,36634708593_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634708593_Budget.xlsx
Москва,36634708593,Государственное и муниципальное управление,Commercial,36634708593_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634708593_Commercial.xlsx
Москва,36634704114,Демография,Budget,36634704114_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634704114_Budget.xlsx
Москва,36634704114,Демография,Commercial,36634704114_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634704114_Commercial.xlsx
Москва,36634648610,Дизайн,Budget,36634648610_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634648610_Budget.xlsx
