desirability_rank,program_id,program_name,campus,n_p1_budget,n_applications_budget,desirability,low_data
100,36634163420,Прикладные модели искусственного интеллекта,Москва,21,87,0.2553938393373314,False
101,36634718779,Финансовая экономика,Москва,16,68,0.25349629631098447,False
102,36634109304,Математика машинного обучения,Москва,17,72,0.25332520504954387,False
103,36634423461,Когнитивные науки и технологии: от нейрона к познанию,Москва,6,29,0.25056286154553636,False
104,36634258902,"Управление в сфере науки, технологий и инноваций",Москва,8,38,0.24522017281024938,False
105,36634207252,Системный анализ и математические технологии,Москва,17,75,0.2443569977106513,False
106,36634809101,Комплаенс и профилактика правовых рисков,Москва,12,55,0.24261374538782923,False
107,36960454475,Социальное предпринимательство и инновации,НИУ ВШЭ - Санкт-Петербург,3,18,0.24177414516519177,False
108,36634135464,Системное программирование,Москва,12,56,0.23892330207449022,False
109,36634723090,Экономика и экономическая политика,Москва,17,78,0.23600206343981625,False
110,36634765632,Сравнительные социальные исследования,Москва,3,19,0.23336200101358773,False
111,36634772526,Сравнительное правоведение и фундаментальный правовой анализ,Москва,8,41,0.23072185203282236,False
112,36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,1,11,0.22694459345506407,False
113,36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,5,29,0.22475047102724371,False
114,36634890974,Коммуникации в государственных структурах и НКО,Москва,8,43,0.22197262533050025,False
115,36923619805,Цифровой инжиниринг в телекоммуникациях,Москва,2,16,0.22171082143878884,False
116,36634894147,Интегрированные коммуникации,Москва,9,50,0.21270248263482472,False
117,36634731597,Стохастическое моделирование в экономике и финансах,Москва,9,50,0.21270248263482472,False
118,36634399435,Интернет вещей и киберфизические системы,Москва,2,20,0.19189202689162607,False
119,36962612385,Религиозная дипломатия в многополярном мире,Москва,1,15,0.19025346227322576,False
120,36635009868,Современные медиаисследования и аналитика,Москва,5,37,0.1862831613626458,False
121,36634870561,Политика. Экономика. Философия,Москва,5,40,0.17504799247418792,False
122,36634729389,Статистический анализ в экономике,Москва,6,53,0.15471643598172644,False
123,36634744291,Население и развитие,Москва,0,16,0.1440140170686849,False
124,36634882278,Цифровые коммуникации и продуктовая аналитика,Москва,3,42,0.1296276845784764,False
125,36634168709,Технологии искусственного интеллекта в телекоммуникациях,Москва,2,35,0.12755785973709657,False
