program_id,Математика,Совместная магистратура НИУ ВШЭ и ЦПМ,Анализ данных в биологии и медицине,Биоинформатика в агробиотехнологиях,Науки о данных,Математика машинного обучения,Информационная безопасность и технологии искусственного интеллекта,Информационная безопасность в кредитно-финансовой сфере,Компьютерные системы и сети,Системная и программная инженерия,Системное программирование,Прикладные модели искусственного интеллекта,Технологии искусственного интеллекта в телекоммуникациях,Современные компьютерные науки,Физика,Химия молекулярных систем и материалов,Управление пространственным развитием городов,Управление низкоуглеродным развитием,Системный анализ и математические технологии,Прикладная социальная психология,Позитивная психология,Персонология. Консультативная психология и психотерапия,"Управление исследованиями, разработками и инновациями в компании",Управление и экономика здравоохранения,"Управление в сфере науки, технологий и инноваций",Прикладная электроника и фотоника,Интернет вещей и киберфизические системы,Клеточная и молекулярная биотехнология,Когнитивные науки и технологии: от нейрона к познанию,Аппаратно-программные комплексы искусственного интеллекта,Международная торговая политика,Мировая экономика,Маркетинг: цифровые технологии и маркетинговые коммуникации,Международный менеджмент,Литературное мастерство,Компьютерная лингвистика,Теория языка и полевая лингвистика,Культурные исследования,История художественной культуры и рынок искусства,Дизайн,"Классический и современный Восток: языки, культуры, религии",Интерактивные медиа и цифровые индустрии,Кинопроизводство,Комплексный социальный анализ,Демография,Государственное и муниципальное управление,Финансовая экономика,Экономика и экономическая политика,Статистический анализ в экономике,Стохастическое моделирование в экономике и финансах,Стратегический менеджмент: инвестиции и консалтинг,Операционная эффективность и производственные системы,Население и развитие,Стратегическое управление финансами фирмы,Сравнительные социальные исследования,Современное частное право,Публичное право,Право международной торговли и разрешение споров,Международные отношения: европейские и азиатские исследования,Юрист в бизнесе,Юрист в правосудии,Цифровое право,Сравнительное правоведение и фундаментальный правовой анализ,Фармправо и здравоохранение,Финансовые рынки и финансовые институты,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Комплаенс и профилактика правовых рисков,Социальный анализ рынков на цифровых и опросных данных,Социология публичной сферы и цифровая аналитика,Бизнес-информатика: цифровое предприятие и управление информационными системами,Современная журналистика,Политика. Экономика. Философия,Прикладная политология,Цифровые коммуникации и продуктовая аналитика,Коммуникации в государственных структурах и НКО,Интегрированные коммуникации,Современные медиаисследования и аналитика,Современные технологии преподавания дизайна и искусства,Педагогическое образование,Медиаменеджмент,Философские исследования,Современное востоковедение,Русский язык как иностранный,Аналитик деловой разведки,Обучение и оценивание как наука,UX-аналитика и проектирование информационных систем,Машинное обучение и анализ данных,Физика,Аналитика данных для бизнеса и экономики,Аналитика данных для бизнеса и экономики,Финансы,Международный бизнес в странах Азиатско-Тихоокеанского региона,Городское развитие и управление,Стратегическое управление логистикой и цепями поставок,Менеджмент в индустрии впечатлений,Современный социальный анализ,Право интеллектуальной собственности в цифровую эпоху,Гражданское и коммерческое право,Право и государственное управление,Медиапроизводство и медиааналитика,Языковые технологии в бизнесе и образовании,Русская литература в кросс-культурной и интермедиальной перспективах,Глобальная и региональная история,Дизайн,Кросс-культурные исследования Азии и Африки в контексте международных отношений,Анализ данных для государства и общества,Анализ данных для государства и общества,Экономика и бизнес-консалтинг,Бизнес- и ИТ-архитектура высокотехнологичных компаний,Вычислительная биология и биоинформатика,Иностранные языки и межкультурная коммуникация,Нейробиология,Цифровой инжиниринг в телекоммуникациях,Цифровые технологии в гуманитарных исследованиях,Археологические исследования,Исторические исследования,Филологические исследования,Психологическое сопровождение в сфере управления здоровьем и благополучием,Социальное предпринимательство и инновации,Политика и глобальное управление в Евразии,Политика и глобальное управление в Евразии,Религиозная дипломатия в многополярном мире,Умные устройства: аппаратная разработка,Пространственные данные и прикладная геоаналитика,Доказательное развитие образования
Позитивная психология,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,58.0,42.0,1.0,4.0,2.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Персонология. Консультативная психология и психотерапия,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,42.0,91.0,1.0,2.0,2.0,0.0,0.0,0.0,18.0,0.0,3.0,2.0,8.0,7.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,7.0,5.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,4.0,1.0,2.0,5.0,2.0,2.0,5.0,6.0,3.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,3.0,5.0,6.0,3.0,4.0,0.0,5.0,6.0,3.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"Управление исследованиями, разработками и инновациями в компании",1.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,1.0,1.0,1.0,49.0,3.0,14.0,1.0,3.0,2.0,1.0,3.0,7.0,8.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,1.0,1.0,3.0,7.0,5.0,5.0,3.0,11.0,8.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,2.0,1.0,2.0,12.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0
Управление и экономика здравоохранения,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,3.0,37.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,5.0,7.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,17.0,5.0,5.0,3.0,3.0,5.0,4.0,7.0,6.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,8.0,5.0,4.0,2.0,4.0,4.0,1.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,5.0
"Управление в сфере науки, технологий и инноваций",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,3.0,2.0,2.0,14.0,4.0,38.0,0.0,1.0,1.0,3.0,2.0,2.0,4.0,14.0,18.0,1.0,0.0,0.0,4.0,2.0,4.0,1.0,5.0,4.0,1.0,1.0,6.0,6.0,5.0,1.0,2.0,15.0,10.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,7.0,1.0,2.0,2.0,7.0,6.0,7.0,7.0,0.0,2.0,6.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0
Прикладная электроника и фотоника,1.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Интернет вещей и киберфизические системы,1.0,1.0,2.0,1.0,2.0,2.0,9.0,6.0,13.0,7.0,7.0,5.0,6.0,4.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,20.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Клеточная и молекулярная биотехнология,1.0,1.0,9.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Когнитивные науки и технологии: от нейрона к познанию,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,18.0,1.0,2.0,3.0,0.0,0.0,0.0,29.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Аппаратно-программные комплексы искусственного интеллекта,3.0,2.0,4.0,1.0,5.0,6.0,13.0,7.0,16.0,9.0,8.0,12.0,11.0,8.0,4.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,14.0,1.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Международная торговая политика,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,3.0,3.0,7.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,57.0,36.0,16.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,1.0,1.0,13.0,23.0,32.0,17.0,10.0,12.0,3.0,3.0,14.0,1.0,3.0,5.0,4.0,10.0,4.0,3.0,5.0,2.0,3.0,19.0,3.0,4.0,1.0,2.0,5.0,3.0,6.0,4.0,7.0,3.0,5.0,4.0,1.0,1.0,9.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0
Мировая экономика,1.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,8.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,36.0,78.0,18.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,14.0,35.0,45.0,24.0,18.0,18.0,6.0,2.0,26.0,1.0,2.0,5.0,2.0,10.0,3.0,2.0,4.0,2.0,2.0,26.0,3.0,2.0,1.0,3.0,7.0,2.0,8.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,7.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0
Маркетинг: цифровые технологии и маркетинговые коммуникации,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,6.0,0.0,2.0,5.0,5.0,8.0,10.0,5.0,14.0,0.0,0.0,1.0,3.0,0.0,16.0,18.0,128.0,57.0,2.0,0.0,0.0,3.0,3.0,7.0,1.0,27.0,14.0,4.0,3.0,13.0,9.0,16.0,7.0,4.0,34.0,12.0,2.0,12.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,15.0,2.0,2.0,3.0,9.0,12.0,11.0,4.0,3.0,27.0,15.0,28.0,13.0,0.0,0.0,27.0,2.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0
Международный менеджмент,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,7.0,5.0,7.0,12.0,7.0,18.0,0.0,0.0,0.0,4.0,0.0,18.0,23.0,57.0,123.0,1.0,1.0,0.0,4.0,5.0,5.0,1.0,18.0,11.0,2.0,3.0,17.0,12.0,16.0,7.0,4.0,50.0,18.0,4.0,20.0,3.0,4.0,4.0,5.0,15.0,5.0,4.0,6.0,1.0,4.0,18.0,3.0,4.0,3.0,5.0,10.0,11.0,6.0,5.0,19.0,11.0,18.0,12.0,0.0,2.0,27.0,2.0,6.0,2.0,9.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,6.0,4.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,0.0,3.0
Литературное мастерство,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.0,1.0,0.0,6.0,5.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Компьютерная лингвистика,1.0,0.0,1.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,31.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Теория языка и полевая лингвистика,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Культурные исследования,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0,0.0,37.0,14.0,5.0,1.0,5.0,7.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
История художественной культуры и рынок искусства,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,5.0,1.0,0.0,14.0,35.0,6.0,2.0,3.0,5.0,2.0,1.0,6.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Дизайн,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,5.0,2.0,0.0,0.0,5.0,6.0,84.0,2.0,7.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,4.0,4.0,2.0,8.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
"Классический и современный Восток: языки, культуры, религии",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,27.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Интерактивные медиа и цифровые индустрии,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,5.0,5.0,7.0,5.0,3.0,5.0,1.0,1.0,0.0,3.0,1.0,7.0,4.0,27.0,18.0,4.0,1.0,0.0,5.0,3.0,7.0,1.0,71.0,29.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,9.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,7.0,2.0,3.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,5.0,2.0,22.0,4.0,3.0,22.0,13.0,20.0,25.0,1.0,2.0,47.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0
Кинопроизводство,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,14.0,11.0,5.0,2.0,0.0,7.0,5.0,3.0,1.0,29.0,72.0,2.0,2.0,7.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,13.0,4.0,3.0,13.0,10.0,13.0,11.0,0.0,1.0,28.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
